"Industry Sector","Type of Employee","Quarter","Statistic Label","UNIT","VALUE"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical and Managerial Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","918.45"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical and Managerial Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","923.01"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical and Managerial Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","944.71"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical and Managerial Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","964.96"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical and Managerial Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","978.15"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical and Managerial Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","970.54"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1995Q3","Average Weekly Earnings (Euro)","Euro","436.94"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","446.49"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","443.82"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","442.22"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","446.95"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","448.87"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","455.18"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","447.25"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","446.14"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","436.62"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","446.6"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","445.49"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","455.09"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","466.34"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","473.51"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","475.03"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","499.17"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","1999Q4","Average Weekly Earnings (Euro)","Euro","514.1"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2000Q1","Average Weekly Earnings (Euro)","Euro","532.9"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2000Q2","Average Weekly Earnings (Euro)","Euro","547.71"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2000Q3","Average Weekly Earnings (Euro)","Euro","544.65"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2000Q4","Average Weekly Earnings (Euro)","Euro","559.74"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2001Q1","Average Weekly Earnings (Euro)","Euro","594.64"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2001Q2","Average Weekly Earnings (Euro)","Euro","600.12"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2001Q3","Average Weekly Earnings (Euro)","Euro","592.82"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2001Q4","Average Weekly Earnings (Euro)","Euro","595.72"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2002Q1","Average Weekly Earnings (Euro)","Euro","619.43"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2002Q2","Average Weekly Earnings (Euro)","Euro","625.84"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2002Q3","Average Weekly Earnings (Euro)","Euro","613.33"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2002Q4","Average Weekly Earnings (Euro)","Euro","641.18"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2003Q1","Average Weekly Earnings (Euro)","Euro","673.73"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2003Q2","Average Weekly Earnings (Euro)","Euro","676.98"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2003Q3","Average Weekly Earnings (Euro)","Euro","656.63"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2003Q4","Average Weekly Earnings (Euro)","Euro","707.98"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2004Q1","Average Weekly Earnings (Euro)","Euro","739.87"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2004Q2","Average Weekly Earnings (Euro)","Euro","707.57"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2004Q3","Average Weekly Earnings (Euro)","Euro","692.6"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2004Q4","Average Weekly Earnings (Euro)","Euro","711.98"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2005Q1","Average Weekly Earnings (Euro)","Euro","717.19"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2005Q2","Average Weekly Earnings (Euro)","Euro","705.21"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2005Q3","Average Weekly Earnings (Euro)","Euro","710.7"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2005Q4","Average Weekly Earnings (Euro)","Euro","738.86"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","742.15"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","736.94"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","759.66"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","771.97"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","770.51"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Clerical Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","766.33"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1995Q3","Average Weekly Earnings (Euro)","Euro","678.41"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","688.21"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","681.35"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","687.58"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","665.48"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","685.44"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","701.47"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","702"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","696.36"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","698.33"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","707.84"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","709.28"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","719.52"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","731.99"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","727.74"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","726.95"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","737.27"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","1999Q4","Average Weekly Earnings (Euro)","Euro","779.11"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2000Q1","Average Weekly Earnings (Euro)","Euro","795.19"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2000Q2","Average Weekly Earnings (Euro)","Euro","789.94"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2000Q3","Average Weekly Earnings (Euro)","Euro","781.5"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2000Q4","Average Weekly Earnings (Euro)","Euro","820.47"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2001Q1","Average Weekly Earnings (Euro)","Euro","850.2"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2001Q2","Average Weekly Earnings (Euro)","Euro","849.42"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2001Q3","Average Weekly Earnings (Euro)","Euro","846.64"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2001Q4","Average Weekly Earnings (Euro)","Euro","862.52"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2002Q1","Average Weekly Earnings (Euro)","Euro","903.32"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2002Q2","Average Weekly Earnings (Euro)","Euro","893.85"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2002Q3","Average Weekly Earnings (Euro)","Euro","876.2"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2002Q4","Average Weekly Earnings (Euro)","Euro","896.61"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2003Q1","Average Weekly Earnings (Euro)","Euro","938.66"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2003Q2","Average Weekly Earnings (Euro)","Euro","933.97"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2003Q3","Average Weekly Earnings (Euro)","Euro","931.46"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2003Q4","Average Weekly Earnings (Euro)","Euro","949.79"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2004Q1","Average Weekly Earnings (Euro)","Euro","1010.65"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2004Q2","Average Weekly Earnings (Euro)","Euro","969.62"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2004Q3","Average Weekly Earnings (Euro)","Euro","971.2"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2004Q4","Average Weekly Earnings (Euro)","Euro","993.16"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2005Q1","Average Weekly Earnings (Euro)","Euro","1016.26"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2005Q2","Average Weekly Earnings (Euro)","Euro","1013.18"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2005Q3","Average Weekly Earnings (Euro)","Euro","1002.18"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2005Q4","Average Weekly Earnings (Euro)","Euro","1041.66"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","1036.37"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","1040.56"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","1057.54"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","1083.85"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","1105.3"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Managerial Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","1094.67"
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1995Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1995Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1996Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1996Q2","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1996Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1996Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1997Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1997Q2","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1997Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1997Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1998Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1998Q2","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1998Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1998Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1999Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1999Q2","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1999Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","1999Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2000Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2000Q2","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2000Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2000Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2001Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2001Q2","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2001Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2001Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2002Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2002Q2","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2002Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2002Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2003Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2003Q2","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2003Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2003Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2004Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2004Q2","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2004Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2004Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2005Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2005Q2","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2005Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2005Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2006Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2006Q2","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2006Q3","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2006Q4","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2007Q1","Average Weekly Earnings (Euro)","Euro",""
"Chemicals, Chemical Products and Man-made Fibres (NACE 24)","Industrial Employees","2007Q2","Average Weekly Earnings (Euro)","Euro",""
"Rubber and Plastic Products (NACE 25)","All Employees","1995Q3","Average Weekly Earnings (Euro)","Euro",""
"Rubber and Plastic Products (NACE 25)","All Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","379.52"
"Rubber and Plastic Products (NACE 25)","All Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","370.68"
"Rubber and Plastic Products (NACE 25)","All Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","373.4"
"Rubber and Plastic Products (NACE 25)","All Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","373.89"
"Rubber and Plastic Products (NACE 25)","All Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","388.63"
"Rubber and Plastic Products (NACE 25)","All Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","394.65"
"Rubber and Plastic Products (NACE 25)","All Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","377.3"
"Rubber and Plastic Products (NACE 25)","All Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","373.08"
"Rubber and Plastic Products (NACE 25)","All Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","389.93"
"Rubber and Plastic Products (NACE 25)","All Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","398.87"
"Rubber and Plastic Products (NACE 25)","All Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","390.15"
"Rubber and Plastic Products (NACE 25)","All Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","393.4"
"Rubber and Plastic Products (NACE 25)","All Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","404.02"
"Rubber and Plastic Products (NACE 25)","All Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","410.05"
"Rubber and Plastic Products (NACE 25)","All Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","421.27"
"Rubber and Plastic Products (NACE 25)","All Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","417.43"
"Rubber and Plastic Products (NACE 25)","All Employees","1999Q4","Average Weekly Earnings (Euro)","Euro","426.42"
"Rubber and Plastic Products (NACE 25)","All Employees","2000Q1","Average Weekly Earnings (Euro)","Euro","447.72"
"Rubber and Plastic Products (NACE 25)","All Employees","2000Q2","Average Weekly Earnings (Euro)","Euro","453.46"
"Rubber and Plastic Products (NACE 25)","All Employees","2000Q3","Average Weekly Earnings (Euro)","Euro","444.59"
"Rubber and Plastic Products (NACE 25)","All Employees","2000Q4","Average Weekly Earnings (Euro)","Euro","458.98"
"Rubber and Plastic Products (NACE 25)","All Employees","2001Q1","Average Weekly Earnings (Euro)","Euro","445.6"
"Rubber and Plastic Products (NACE 25)","All Employees","2001Q2","Average Weekly Earnings (Euro)","Euro","467.29"
"Rubber and Plastic Products (NACE 25)","All Employees","2001Q3","Average Weekly Earnings (Euro)","Euro","470.73"
"Rubber and Plastic Products (NACE 25)","All Employees","2001Q4","Average Weekly Earnings (Euro)","Euro","471.68"
"Rubber and Plastic Products (NACE 25)","All Employees","2002Q1","Average Weekly Earnings (Euro)","Euro","471.77"
"Rubber and Plastic Products (NACE 25)","All Employees","2002Q2","Average Weekly Earnings (Euro)","Euro","499.9"
"Rubber and Plastic Products (NACE 25)","All Employees","2002Q3","Average Weekly Earnings (Euro)","Euro","490.18"
"Rubber and Plastic Products (NACE 25)","All Employees","2002Q4","Average Weekly Earnings (Euro)","Euro","506.12"
"Rubber and Plastic Products (NACE 25)","All Employees","2003Q1","Average Weekly Earnings (Euro)","Euro","509.79"
"Rubber and Plastic Products (NACE 25)","All Employees","2003Q2","Average Weekly Earnings (Euro)","Euro","523.98"
"Rubber and Plastic Products (NACE 25)","All Employees","2003Q3","Average Weekly Earnings (Euro)","Euro","531.82"
"Rubber and Plastic Products (NACE 25)","All Employees","2003Q4","Average Weekly Earnings (Euro)","Euro","535.5"
"Rubber and Plastic Products (NACE 25)","All Employees","2004Q1","Average Weekly Earnings (Euro)","Euro","535.58"
"Rubber and Plastic Products (NACE 25)","All Employees","2004Q2","Average Weekly Earnings (Euro)","Euro","545.03"
"Rubber and Plastic Products (NACE 25)","All Employees","2004Q3","Average Weekly Earnings (Euro)","Euro","540.01"
"Rubber and Plastic Products (NACE 25)","All Employees","2004Q4","Average Weekly Earnings (Euro)","Euro","555.54"
"Rubber and Plastic Products (NACE 25)","All Employees","2005Q1","Average Weekly Earnings (Euro)","Euro","569.21"
"Rubber and Plastic Products (NACE 25)","All Employees","2005Q2","Average Weekly Earnings (Euro)","Euro","572.63"
"Rubber and Plastic Products (NACE 25)","All Employees","2005Q3","Average Weekly Earnings (Euro)","Euro","582.75"
"Rubber and Plastic Products (NACE 25)","All Employees","2005Q4","Average Weekly Earnings (Euro)","Euro","590.55"
"Rubber and Plastic Products (NACE 25)","All Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","576.76"
"Rubber and Plastic Products (NACE 25)","All Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","579.75"
"Rubber and Plastic Products (NACE 25)","All Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","594.3"
"Rubber and Plastic Products (NACE 25)","All Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","616.35"
"Rubber and Plastic Products (NACE 25)","All Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","612.02"
"Rubber and Plastic Products (NACE 25)","All Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","610.61"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1995Q3","Average Weekly Earnings (Euro)","Euro",""
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","511.47"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","489.34"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","492.63"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","490.73"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","510.08"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","514.07"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","516.78"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","506.69"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","521.52"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","521.29"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","522.03"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","537.74"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","556.62"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","543.79"
"Rubber and Plastic Products (NACE 25)","Clerical and Managerial Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","548.05"
